tên đường,bắt đầu,kết thúc,giá đất ở v1,giá đất ở v2,giá đất ở v3,giá đất ở v4,giá đất thương mai v1,giá đất thương mại v2,giá đất thương mại v3,giá đất thương mại v4,giá đất kinh doanh phi nông nghiệp v1,giá đất kinh doanh phi nông nghiệp v2,giá đất kinh doanh phi nông nghiệp v3,giá đất kinh doanh phi nông nghiệp v4,quận
an xa,Đầu đường,Cuối đường,38280,21054,17226,15312,24882,13685,11197,9953,19719,11338,9408,8381,ba dinh
ba huyen thanh quan,Đầu đường,Cuối đường,92800,45008,35728,31088,60320,29255,23223,20207,41903,18856,14666,12571,ba dinh
bac son,Đường Độc Lập,Hoàng Diệu,118320,56202,44370,38454,76908,36531,28841,24995,50940,22923,17829,15282,ba dinh
bac son,Ông Ích Khiêm,Ngọc Hà,88160,43198,34382,29974,57304,28079,22349,19483,40260,18219,14296,12243,ba dinh
cao ba quat,Đầu đường,Cuối đường,60320,30763,24731,21715,39208,19996,16075,14115,30400,15447,12653,10517,ba dinh
cau giay,Địa phận quận Ba Đình,Địa phận quận Ba Đình,53360,27747,22411,19743,34684,18036,14567,12833,27114,14378,11667,10106,ba dinh
chau long,Đầu đường,Cuối đường,52640,27373,22109,19477,34216,17792,14371,12660,26972,14218,11549,9897,ba dinh
chu van an,Đầu đường,Cuối đường,102080,49509,39301,34197,66352,32181,25546,22228,45189,20335,15817,13557,ba dinh
chua mot cot,Đầu đường,Cuối đường,92800,45008,35728,31088,60320,29255,23223,20207,41903,18856,14666,12571,ba dinh
cua bac,Phan Đình Phùng,Phan Hồng Thái,62640,31946,25682,22550,40716,20765,16694,14658,31221,15611,12899,10599,ba dinh
cua bac,Phạm Hồng Thái,Cuối đường,54520,28350,22898,20172,35438,18428,14884,13112,27935,14726,11962,10251,ba dinh
dang dung,Đầu đường,Cuối đường,62100,31671,25461,22356,40365,20586,16550,14531,30952,15477,12788,10508,ba dinh
dang tat,Đầu đường,Cuối đường,57500,29325,23575,20700,37375,19061,15324,13455,29324,15068,12299,10350,ba dinh
dao tan,Đầu đường,Cuối đường,69600,34800,27840,24360,45240,22620,18096,15834,33686,16185,13310,11133,ba dinh
dien bien phu,Đầu đường,Cuối đường,125280,59508,46980,40716,81432,38680,30537,26465,51763,23293,18117,15529,ba dinh
doc ngu,Đầu đường,Cuối đường,40600,21924,17864,15834,26390,14251,11612,10292,20540,11750,9695,8627,ba dinh
